Bestand;Bestand;Bestand;Bestand;Bestand;Bestand;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG
EnEv2016;FB;Holz;Pellets;0.05;EnEv2016_FB_Holz_Pellets_0.05_Solarthermie;738658.67;47248.86;-537246.05;11035.85;3995.63;2794.17;166.04;46.58;-57.66;0.000191786;1.33294E-07;-0.000826081
EnEv2016;FB;HF MW;Pellets;0.1;EnEv2016_FB_HFMW_Pellets_0.1_Solarthermie;813520.84;50157.56;-244163.19;31873.98;4241.61;8057.12;209.11;49.45;-33.94;0.000634904;1.415E-07;-0.000868462
EnEv2016;FB;HF MW;Pellets;0.05;EnEv2016_FB_HFMW_Pellets_0.05_Solarthermie;790538.70;47248.86;-244170.57;29906.57;3995.63;8056.61;199.86;46.58;-33.95;0.000634858;1.33294E-07;-0.000868462
EnEv2016;2WSV;EPS;Pellets;0.1;EnEv2016_2WSV_EPS_Pellets_0.1_Solarthermie;1244396.64;48609.20;-400681.08;54155.14;4110.67;11656.80;258.69;47.92;-44.83;0.001720801;1.37132E-07;-5745.516729
EnEv2016;2WSV;EPS;Pellets;0.05;EnEv2016_2WSV_EPS_Pellets_0.05_Solarthermie;1087760.86;50465.55;-367525.89;43146.60;4267.66;13225.10;192.01;49.75;-35.10;0.001719444;1.42369E-07;-5745.516728
EnEv2016;2WSV;Holz;Pellets;0.1;EnEv2016_2WSV_Holz_Pellets_0.1_Solarthermie;1272001.63;48609.20;-649977.92;35955.63;4110.67;13294.88;264.39;47.92;-61.16;0.001712166;1.37132E-07;-5745.516729
EnEv2016;2WSV;Holz;Pellets;0.05;EnEv2016_2WSV_Holz_Pellets_0.05_Solarthermie;1272001.63;45475.65;-649977.92;35955.63;3845.68;13294.88;264.39;44.83;-61.16;0.001712166;1.28292E-07;-5745.516729
EnEv2016;2WSV;HF MW;Pellets;0.1;EnEv2016_2WSV_HFMW_Pellets_0.1_Solarthermie;1367335.82;48609.20;-458066.77;48557.05;4110.67;19882.75;296.98;47.92;-44.31;0.002155229;1.37132E-07;-5745.516772
EnEv2016;2WSV;HF MW;Pellets;0.05;EnEv2016_2WSV_HFMW_Pellets_0.05_Solarthermie;1367335.82;45475.65;-458066.77;48557.05;3845.68;19882.75;296.98;44.83;-44.31;0.002155229;1.28292E-07;-5745.516772
EnEv2016;3WSV;EPS;Pellets;0.1;EnEv2016_3WSV_EPS_Pellets_0.1_Solarthermie;1303190.02;45063.12;-401088.24;58696.69;3810.80;11626.89;277.35;44.42;-45.01;0.001720882;1.27128E-07;-5745.516729
EnEv2016;3WSV;EPS;Pellets;0.05;EnEv2016_3WSV_EPS_Pellets_0.05_Solarthermie;1303190.02;41910.98;-401088.24;58696.69;3544.23;11626.89;277.35;41.32;-45.01;0.001720882;1.18235E-07;-5745.516729
EnEv2016;3WSV;Holz;Pellets;0.1;EnEv2016_3WSV_Holz_Pellets_0.1_Solarthermie;1330795.01;45063.12;-650385.09;40497.18;3810.80;13264.96;283.06;44.42;-61.34;0.001712247;1.27128E-07;-5745.516729
EnEv2016;3WSV;Holz;Pellets;0.05;EnEv2016_3WSV_Holz_Pellets_0.05_Solarthermie;1330795.01;41910.98;-650385.09;40497.18;3544.23;13264.96;283.06;41.32;-61.34;0.001712247;1.18235E-07;-5745.516729
EnEv2016;3WSV;HF MW;Pellets;0.1;EnEv2016_3WSV_HFMW_Pellets_0.1_Solarthermie;1433858.99;45063.12;-458471.45;53760.32;3810.80;19853.00;318.76;44.42;-44.49;0.002155326;1.27128E-07;-5745.516772
EnEv2016;3WSV;HF MW;Pellets;0.05;EnEv2016_3WSV_HFMW_Pellets_0.05_Solarthermie;1433858.99;41910.98;-458471.45;53760.32;3544.23;19853.00;318.76;41.32;-44.49;0.002155326;1.18235E-07;-5745.516772
EnEv2016;FB;EPS;WP;0.1;EnEv2016_FB_EPS_WP_0.1_Solarthermie;3849536.29;276944.01;-1824239.55;229263.79;20951.17;-64911.09;1667.11;33.27;-469.06;19.25823723;3.78618E-05;-2616.317055
EnEv2016;FB;EPS;WP;0.05;EnEv2016_FB_EPS_WP_0.05_Solarthermie;3731040.77;259588.66;-1794428.94;225333.22;19638.22;-56075.71;1658.49;31.18;-454.70;19.25822858;3.54891E-05;-874.1743132
EnEv2016;FB;Holz;WP;0.1;EnEv2016_FB_Holz_WP_0.1_Solarthermie;3950969.15;276944.01;-2647960.51;180738.60;20951.17;-51285.81;1684.33;33.27;-521.25;19.25820571;3.78618E-05;-2616.318809
EnEv2016;FB;Holz;WP;0.05;EnEv2016_FB_Holz_WP_0.05_Solarthermie;3804923.62;259588.66;-2404741.50;192253.73;19638.22;-28066.91;1670.57;31.18;-476.87;19.25820564;3.54891E-05;-874.1742986
EnEv2016;FB;HF MW;WP;0.1;EnEv2016_FB_HFMW_WP_0.1_Solarthermie;3798177.93;276944.01;-1957947.73;220231.70;20951.17;-49885.94;1709.48;33.27;-466.65;19.25864876;3.78618E-05;-2616.31885
EnEv2016;FB;HF MW;WP;0.05;EnEv2016_FB_HFMW_WP_0.05_Solarthermie;3799443.16;259588.66;-1968501.37;220350.42;19638.22;-33996.43;1707.81;31.18;-453.14;19.25864874;3.54891E-05;-874.1743409
EnEv2016;2WSV;EPS;WP;0.1;EnEv2016_2WSV_EPS_WP_0.1_Solarthermie;4278131.27;267194.62;-1995920.91;243907.07;20213.62;-55612.58;1759.13;32.09;-475.84;19.25974469;3.6529E-05;-8361.832957
EnEv2016;2WSV;EPS;WP;0.05;EnEv2016_2WSV_EPS_WP_0.05_Solarthermie;4278131.27;249676.48;-1995920.91;243907.07;18888.35;-55612.58;1759.13;29.99;-475.84;19.25974469;3.4134E-05;-8361.832957
EnEv2016;2WSV;Holz;WP;0.1;EnEv2016_2WSV_Holz_WP_0.1_Solarthermie;4354531.93;267194.62;-2433631.63;212906.44;20213.62;-52736.48;1770.97;32.09;-504.51;19.25972101;3.6529E-05;-8361.832958
EnEv2016;2WSV;Holz;WP;0.05;EnEv2016_2WSV_Holz_WP_0.05_Solarthermie;4426513.30;249676.48;-2433631.63;229136.75;18888.35;-52736.48;1796.65;29.99;-504.51;19.25972119;3.4134E-05;-8361.832958
EnEv2016;2WSV;HF MW;WP;0.1;EnEv2016_2WSV_HFMW_WP_0.1_Solarthermie;4400235.43;267194.62;-2098553.46;235395.54;20213.62;-48024.03;1810.09;32.09;-477.94;19.26016411;3.6529E-05;-8361.833001
EnEv2016;2WSV;HF MW;WP;0.05;EnEv2016_2WSV_HFMW_WP_0.05_Solarthermie;4472216.80;249676.48;-2098553.46;251625.84;18888.35;-48024.03;1835.77;29.99;-477.94;19.26016429;3.4134E-05;-8361.833001
EnEv2016;3WSV;EPS;WP;0.1;EnEv2016_3WSV_EPS_WP_0.1_Solarthermie;4336924.65;247370.27;-1996328.07;248448.62;18713.88;-55642.50;1777.80;29.71;-476.03;19.25974477;3.38187E-05;-8361.832957
EnEv2016;3WSV;EPS;WP;0.05;EnEv2016_3WSV_EPS_WP_0.05_Solarthermie;4336922.75;229752.65;-1996328.07;248448.59;17381.09;-55642.50;1777.80;27.60;-476.03;19.25965042;3.14102E-05;-8361.832957
EnEv2016;3WSV;Holz;WP;0.1;EnEv2016_3WSV_Holz_WP_0.1_Solarthermie;4413325.31;247370.27;-2434038.79;217447.99;18713.88;-52766.40;1789.64;29.71;-504.70;19.25972109;3.38187E-05;-8361.832958
EnEv2016;3WSV;Holz;WP;0.05;EnEv2016_3WSV_Holz_WP_0.05_Solarthermie;4413325.31;229752.65;-2434038.79;217447.99;17381.09;-52766.40;1789.64;27.60;-504.70;19.25972109;3.14102E-05;-8361.832958
EnEv2016;3WSV;HF MW;WP;0.1;EnEv2016_3WSV_HFMW_WP_0.1_Solarthermie;4500348.37;247370.27;-2098947.35;243474.29;18713.88;-48053.03;1845.39;29.71;-478.12;19.26016427;3.38187E-05;-8361.833001
EnEv2016;3WSV;HF MW;WP;0.05;EnEv2016_3WSV_HFMW_WP_0.05_Solarthermie;4459028.81;229752.65;-2098960.63;239937.09;17381.09;-48053.95;1828.75;27.60;-478.13;19.26016419;3.14102E-05;-8361.833001
EnEv2016;FB;EPS;Gas;0.1;EnEv2016_FB_EPS_Gas_0.1_Solarthermie;806560.97;554567.54;-224447.84;38601.80;33593.68;2982.01;163.44;14.98;-35.83;0.000213362;2.38802E-08;-0.000825907
EnEv2016;FB;EPS;Gas;0.05;EnEv2016_FB_EPS_Gas_0.05_Solarthermie;688065.46;463389.13;-194637.25;34671.23;28070.42;1196.58;154.82;12.51;-33.31;0.000204714;1.9954E-08;-0.000825315
EnEv2016;FB;Holz;Gas;0.1;EnEv2016_FB_Holz_Gas_0.1_Solarthermie;875463.52;554567.54;-775913.25;-1389.34;33593.68;6605.57;176.58;14.98;-71.95;0.00019187;2.38802E-08;-0.000827208
EnEv2016;FB;Holz;Gas;0.05;EnEv2016_FB_Holz_Gas_0.05_Solarthermie;729417.98;522407.46;-532694.17;10125.79;31645.54;3417.88;162.82;14.11;-55.45;0.000191809;2.24954E-08;-0.000826112
EnEv2016;FB;HF MW;Gas;0.1;EnEv2016_FB_HFMW_Gas_0.1_Solarthermie;804280.15;554567.54;-239611.30;30963.92;33593.68;8680.84;205.90;14.98;-31.73;0.000634927;2.38802E-08;-0.000868494
EnEv2016;FB;HF MW;Gas;0.05;EnEv2016_FB_HFMW_Gas_0.05_Solarthermie;781298.01;463389.13;-239618.68;28996.51;28070.42;8680.32;196.64;12.51;-31.74;0.000634881;1.9954E-08;-0.000868494
EnEv2016;2WSV;EPS;Gas;0.1;EnEv2016_2WSV_EPS_Gas_0.1_Solarthermie;1235155.96;537448.08;-396129.19;53245.08;32556.64;12280.51;255.47;14.51;-42.62;0.001720824;2.31431E-08;-5745.516729
EnEv2016;2WSV;EPS;Gas;0.05;EnEv2016_2WSV_EPS_Gas_0.05_Solarthermie;1235155.96;502801.91;-396129.19;53245.08;30457.90;12280.51;255.47;13.58;-42.62;0.001720824;2.16512E-08;-5745.516729
EnEv2016;2WSV;Holz;Gas;0.1;EnEv2016_2WSV_Holz_Gas_0.1_Solarthermie;1262760.94;537448.08;-645426.04;35045.57;32556.64;13918.59;261.18;14.51;-58.95;0.001712189;2.31431E-08;-5745.516729
EnEv2016;2WSV;Holz;Gas;0.05;EnEv2016_2WSV_Holz_Gas_0.05_Solarthermie;1262760.94;502801.91;-645426.04;35045.57;30457.90;13918.59;261.18;13.58;-58.95;0.001712189;2.16512E-08;-5745.516729
EnEv2016;2WSV;HF MW;Gas;0.1;EnEv2016_2WSV_HFMW_Gas_0.1_Solarthermie;1382906.11;537448.08;-453506.92;49770.96;32556.64;20507.01;303.75;14.51;-42.09;0.002155302;2.31431E-08;-5745.516772
EnEv2016;2WSV;HF MW;Gas;0.05;EnEv2016_2WSV_HFMW_Gas_0.05_Solarthermie;1365824.92;502801.91;-453512.40;48308.71;30457.90;20506.63;296.88;13.58;-42.10;0.002155268;2.16512E-08;-5745.516772
EnEv2016;3WSV;EPS;Gas;0.1;EnEv2016_3WSV_EPS_Gas_0.1_Solarthermie;1293949.33;498240.85;-396536.36;57786.63;30181.61;12250.60;274.14;13.45;-42.80;0.001720905;2.14548E-08;-5745.516729
EnEv2016;3WSV;EPS;Gas;0.05;EnEv2016_3WSV_EPS_Gas_0.05_Solarthermie;1293949.33;463389.13;-396536.36;57786.63;28070.42;12250.60;274.14;12.51;-42.80;0.001720905;1.9954E-08;-5745.516729
EnEv2016;3WSV;Holz;Gas;0.1;EnEv2016_3WSV_Holz_Gas_0.1_Solarthermie;1321554.32;498240.85;-645833.21;39587.12;30181.61;13888.67;279.84;13.45;-59.13;0.00171227;2.14548E-08;-5745.516729
EnEv2016;3WSV;Holz;Gas;0.05;EnEv2016_3WSV_Holz_Gas_0.05_Solarthermie;1321554.32;463389.13;-645833.21;39587.12;28070.42;13888.67;279.84;12.51;-59.13;0.00171227;1.9954E-08;-5745.516729
EnEv2016;3WSV;HF MW;Gas;0.1;EnEv2016_3WSV_HFMW_Gas_0.1_Solarthermie;1447438.28;498240.85;-453912.24;54803.78;30181.61;20477.22;324.73;13.45;-42.28;0.002155394;2.14548E-08;-5745.516772
EnEv2016;3WSV;HF MW;Gas;0.05;EnEv2016_3WSV_HFMW_Gas_0.05_Solarthermie;1424618.30;463389.13;-453919.57;52850.26;28070.42;20476.71;315.54;12.51;-42.28;0.002155349;1.9954E-08;-5745.516772
KfW70;3WSV;EPS;Pellets;0.1;KfW70_3WSV_EPS_Pellets_0.1_Solarthermie;1683181.98;18560.69;-495533.17;71305.71;1569.60;17283.41;304.96;18.30;-53.00;0.001746886;5.23617E-08;-5745.516731
KfW70;3WSV;EPS;Pellets;0.05;KfW70_3WSV_EPS_Pellets_0.05_Solarthermie;1466664.76;15909.46;-445669.91;64105.86;1345.40;14296.99;289.35;15.68;-48.78;0.001738005;4.48823E-08;-5745.51673
KfW70;3WSV;Holz;Pellets;0.1;KfW70_3WSV_Holz_Pellets_0.1_Solarthermie;2028701.69;18560.69;-1928223.94;5329.37;1569.60;47574.41;366.58;18.30;-136.16;6.419267672;5.23617E-08;-8361.832923
KfW70;3WSV;Holz;Pellets;0.05;KfW70_3WSV_Holz_Pellets_0.05_Solarthermie;1784414.60;15909.46;-1521398.76;24590.47;1345.40;42242.46;343.56;15.68;-108.56;6.419267569;4.48823E-08;-8361.832921
KfW70;3WSV;HF MW;Pellets;0.1;KfW70_3WSV_HFMW_Pellets_0.1_Solarthermie;1741889.35;18560.69;-982350.74;59648.70;1569.60;44036.99;389.11;18.30;-67.90;6.419744482;5.23617E-08;-8361.832965
KfW70;3WSV;HF MW;Pellets;0.05;KfW70_3WSV_HFMW_Pellets_0.05_Solarthermie;1703438.27;15909.46;-965740.50;58016.63;1345.40;44064.09;372.52;15.68;-67.03;6.419710624;4.48823E-08;-8361.832963
KfW70;3WSV;EPS;WP;0.1;KfW70_3WSV_EPS_WP_0.1_Solarthermie;4470387.72;124399.61;-1969603.27;253952.36;9410.99;-56982.68;1764.45;14.94;-475.13;12.83667614;1.7007E-05;-7489.735421
KfW70;3WSV;EPS;WP;0.05;KfW70_3WSV_EPS_WP_0.05_Solarthermie;4253870.50;109594.65;-1919740.01;246752.50;8290.98;-59969.11;1748.84;13.16;-470.91;12.83666726;1.4983E-05;-7489.73542
KfW70;3WSV;Holz;WP;0.1;KfW70_3WSV_Holz_WP_0.1_Solarthermie;4876020.18;124399.61;-3204597.56;180966.15;9410.99;-42667.27;1833.24;14.94;-556.97;19.25962693;1.7007E-05;-8361.832962
KfW70;3WSV;Holz;WP;0.05;KfW70_3WSV_Holz_WP_0.05_Solarthermie;4631733.08;109594.65;-2797772.37;200227.24;8290.98;-47999.22;1810.22;13.16;-529.37;19.25962683;1.4983E-05;-8361.83296
KfW70;3WSV;HF MW;WP;0.1;KfW70_3WSV_HFMW_WP_0.1_Solarthermie;4531847.77;124399.61;-2115559.83;244511.37;9410.99;-48080.28;1859.18;14.94;-478.99;19.26010377;1.7007E-05;-8361.833003
KfW70;3WSV;HF MW;WP;0.05;KfW70_3WSV_HFMW_WP_0.05_Solarthermie;4493396.70;109594.65;-2098949.59;242879.29;8290.98;-48053.18;1842.59;13.16;-478.12;19.26006991;1.4983E-05;-8361.833001
KfW70;3WSV;EPS;Gas;0.1;KfW70_3WSV_EPS_Gas_0.1_Solarthermie;1544587.92;205216.40;-490981.29;65978.83;12431.26;17907.12;293.34;5.54;-50.79;0.001786359;8.83683E-09;-5745.516731
KfW70;3WSV;EPS;Gas;0.05;KfW70_3WSV_EPS_Gas_0.05_Solarthermie;1457424.07;175903.10;-441118.02;63195.80;10655.57;14920.70;286.14;4.75;-46.58;0.001738028;7.57457E-09;-5745.51673
KfW70;3WSV;Holz;Gas;0.1;KfW70_3WSV_Holz_Gas_0.1_Solarthermie;2019461.01;205216.40;-1923672.06;4419.31;12431.26;48198.12;363.36;5.54;-133.95;6.419267695;8.83683E-09;-8361.832923
KfW70;3WSV;Holz;Gas;0.05;KfW70_3WSV_Holz_Gas_0.05_Solarthermie;1775173.91;175903.10;-1516846.87;23680.41;10655.57;42866.17;340.35;4.75;-106.35;6.419267592;7.57457E-09;-8361.832921
KfW70;3WSV;HF MW;Gas;0.1;KfW70_3WSV_HFMW_Gas_0.1_Solarthermie;1817358.25;205216.40;-977771.64;65990.29;12431.26;44662.58;420.00;5.54;-65.68;6.419744674;8.83683E-09;-8361.832965
KfW70;3WSV;HF MW;Gas;0.05;KfW70_3WSV_HFMW_Gas_0.05_Solarthermie;1700767.90;175903.10;-961186.50;57669.03;10655.57;44687.94;371.95;4.75;-64.82;6.41971066;7.57457E-09;-8361.832963
KfW 55;3WSV;EPS;Pellets;0.1;KfW55_3WSV_EPS_Pellets_0.1_Solarthermie;2110168.98;14077.32;-602376.81;85471.35;1190.46;23682.53;336.01;13.88;-62.04;0.001777185;3.97136E-08;-5745.516733
KfW 55;3WSV;EPS;Pellets;0.05;KfW55_3WSV_EPS_Pellets_0.05_Solarthermie;1658676.55;2396.88;-490520.00;70488.39;202.69;16983.16;303.22;2.36;-52.58;0.001746828;6.76185E-09;-5745.516731
KfW 55;3WSV;Holz;Pellets;0.1;KfW55_3WSV_Holz_Pellets_0.1_Solarthermie;2579723.92;14077.32;-2814823.25;-34417.71;1190.46;58338.68;418.99;13.88;-200.79;6.424707931;3.97136E-08;-8361.832927
KfW 55;3WSV;Holz;Pellets;0.05;KfW55_3WSV_Holz_Pellets_0.05_Solarthermie;2031723.96;11505.02;-1902204.19;8789.97;972.93;46377.68;367.35;11.34;-138.88;6.4247077;3.24569E-08;-8361.832923
KfW 55;3WSV;HF MW;Pellets;0.1;KfW55_3WSV_HFMW_Pellets_0.1_Solarthermie;1851873.77;14077.32;-1053722.85;62584.37;1190.46;43283.10;429.12;13.88;-76.35;6.42529954;3.97136E-08;-8361.832974
KfW 55;3WSV;HF MW;Pellets;0.05;KfW55_3WSV_HFMW_Pellets_0.05_Solarthermie;1765607.11;11505.02;-997233.75;60841.95;972.93;43376.24;390.64;11.34;-73.39;6.425184513;3.24569E-08;-8361.832965
KfW 55;3WSV;EPS;WP;0.1;KfW55_3WSV_EPS_WP_0.1_Solarthermie;4897374.72;113112.75;-2076446.91;268118.00;8557.13;-50583.57;1795.50;13.59;-484.17;12.83670644;1.5464E-05;-7489.735423
KfW 55;3WSV;EPS;WP;0.05;KfW55_3WSV_EPS_WP_0.05_Solarthermie;4445882.29;98461.54;-1964590.11;253135.03;7448.74;-57282.93;1762.70;11.83;-474.70;12.83667608;1.3461E-05;-7489.735421
KfW 55;3WSV;Holz;WP;0.1;KfW55_3WSV_Holz_WP_0.1_Solarthermie;5399459.75;113112.75;-4076315.10;139694.95;8557.13;-31242.34;1882.56;13.59;-616.11;19.25962715;1.5464E-05;-8361.832966
KfW 55;3WSV;Holz;WP;0.05;KfW55_3WSV_Holz_WP_0.05_Solarthermie;4851459.79;98461.54;-3163696.03;182902.64;7448.74;-43203.34;1830.92;11.83;-554.20;19.25962692;1.3461E-05;-8361.832962
KfW 55;3WSV;HF MW;WP;0.1;KfW55_3WSV_HFMW_WP_0.1_Solarthermie;4768973.57;113112.75;-2172000.46;259168.23;8557.13;-48170.06;1958.41;13.59;-481.93;19.26021909;1.5464E-05;-8361.833012
KfW 55;3WSV;HF MW;WP;0.05;KfW55_3WSV_HFMW_WP_0.05_Solarthermie;4527982.88;98461.54;-2115561.07;244180.51;7448.74;-48080.37;1857.62;11.83;-478.99;19.26010376;1.3461E-05;-8361.833003
KfW 55;3WSV;EPS;Gas;0.1;KfW55_3WSV_EPS_Gas_0.1_Solarthermie;1869940.13;155645.97;-597824.93;76674.11;9428.46;24306.24;317.79;4.20;-59.83;0.001847655;6.70227E-09;-5745.516733
KfW 55;3WSV;EPS;Gas;0.05;KfW55_3WSV_EPS_Gas_0.05_Solarthermie;1649435.87;127205.31;-485968.12;69578.33;7705.63;17606.87;300.00;3.43;-50.37;0.001746851;5.47759E-09;-5745.516731
KfW 55;3WSV;Holz;Gas;0.1;KfW55_3WSV_Holz_Gas_0.1_Solarthermie;2542900.58;155645.97;-2795389.60;-36851.88;9428.46;59623.05;412.69;4.20;-193.09;6.419267915;6.70227E-09;-8361.832927
KfW 55;3WSV;Holz;Gas;0.05;KfW55_3WSV_Holz_Gas_0.05_Solarthermie;1994900.62;127205.31;-1882770.53;6355.80;7705.63;47662.05;361.05;3.43;-131.18;6.419267684;5.47759E-09;-8361.832923
KfW 55;3WSV;HF MW;Gas;0.1;KfW55_3WSV_HFMW_Gas_0.1_Solarthermie;1969774.46;155645.97;-1034239.49;73395.50;9428.46;44570.92;485.12;4.20;-68.63;6.419859833;6.70227E-09;-8361.832974
KfW 55;3WSV;HF MW;Gas;0.05;KfW55_3WSV_HFMW_Gas_0.05_Solarthermie;1728783.77;127205.31;-977800.10;58407.78;7705.63;44660.61;384.33;3.43;-65.69;6.419744497;5.47759E-09;-8361.832965